_STATE,weighted_obesity_rate,state_name,n
54.0,0.4166,West Virginia,22376
28.0,0.4135,Mississippi,16626
1.0,0.4026,Alabama,17934
22.0,0.4001,Louisiana,19223
40.0,0.3941,Oklahoma,22853
5.0,0.393,Arkansas,19498
21.0,0.3899,Kentucky,15346
18.0,0.3851,Indiana,38061
39.0,0.3801,Ohio,51717
19.0,0.3786,Iowa,36230
47.0,0.3778,Tennessee,15320
46.0,0.3759,South Dakota,25080
66.0,0.3718,Guam,7647
45.0,0.3704,South Carolina,31295
20.0,0.3701,Kansas,46425
29.0,0.3693,Missouri,32531
78.0,0.3669,Virgin Islands,4644
31.0,0.3666,Nebraska,51041
10.0,0.3648,Delaware,14899
38.0,0.3647,North Dakota,19668
48.0,0.3643,Texas,42363
55.0,0.3634,Wisconsin,36505
13.0,0.3611,Georgia,30173
26.0,0.3609,Michigan,35687
72.0,0.359,Puerto Rico,18024
37.0,0.357,North Carolina,17024
17.0,0.351,Illinois,22457
51.0,0.3502,Virginia,32243
35.0,0.3438,New Mexico,19816
2.0,0.3423,Alaska,19847
24.0,0.3422,Maryland,56215
42.0,0.3412,Pennsylvania,14934
32.0,0.3364,Nevada,10463
23.0,0.3352,Maine,42358
27.0,0.3342,Minnesota,60885
4.0,0.3333,Arizona,38936
56.0,0.3304,Wyoming,17165
16.0,0.3274,Idaho,22542
41.0,0.3248,Oregon,21010
33.0,0.3199,New Hampshire,24162
44.0,0.3152,Rhode Island,20436
9.0,0.3148,Connecticut,31047
49.0,0.3128,Utah,41146
53.0,0.31,Washington,78402
30.0,0.3095,Montana,26995
12.0,0.3087,Florida,37548
34.0,0.2947,New Jersey,30860
36.0,0.2944,New York,94037
6.0,0.293,California,31501
50.0,0.2874,Vermont,27246
25.0,0.2786,Massachusetts,30650
15.0,0.262,Hawaii,31195
8.0,0.2549,Colorado,37716
11.0,0.2438,District of Columbia,12497
