year,age_group,obesity_rate
2020,18-24,0.19606720260175317
2020,25-29,0.28882022169455895
2020,30-34,0.32826550046219016
2020,35-39,0.33999492160847844
2020,40-44,0.3815076266718473
2020,45-49,0.3936202002252334
2020,50-54,0.39502424561290084
2020,55-59,0.37144708196115334
2020,60-64,0.37146489265660976
2020,65-69,0.35051562966135213
2020,70-74,0.3265803816430385
2020,75-79,0.28542457244987796
2020,80+,0.19621979277927895
2021,18-24,0.20729763465966797
2021,25-29,0.2951705504173145
2021,30-34,0.3445394380996595
2021,35-39,0.36597335531598835
2021,40-44,0.3825859761728483
2021,45-49,0.4079739655452192
2021,50-54,0.4051378567575479
2021,55-59,0.3842331670248321
2021,60-64,0.3909027506265262
2021,65-69,0.3489477873624537
2021,70-74,0.33644573679548934
2021,75-79,0.304677860099862
2021,80+,0.19699766330399154
2022,18-24,0.2090332790016444
2022,25-29,0.2950961087539396
2022,30-34,0.3437313804419506
2022,35-39,0.3714597006257326
2022,40-44,0.39488953363970936
2022,45-49,0.4102808085900194
2022,50-54,0.4175725601066723
2022,55-59,0.38847357286525447
2022,60-64,0.3777669295018621
2022,65-69,0.3724198970041148
2022,70-74,0.34118454179086793
2022,75-79,0.2953016316099978
2022,80+,0.20585983513953204
2023,18-24,0.18885338524767076
2023,25-29,0.30190662254404543
2023,30-34,0.33642690885814386
2023,35-39,0.35890544949500586
2023,40-44,0.3749865614834966
2023,45-49,0.40287959181815
2023,50-54,0.41130284662223343
2023,55-59,0.3974096827117375
2023,60-64,0.38770177410421014
2023,65-69,0.3628838318076556
2023,70-74,0.3347306478481613
2023,75-79,0.30863148043109956
2023,80+,0.21467509507896362
2024,18-24,0.2066673817944293
2024,25-29,0.3063602300332072
2024,30-34,0.35978077506612627
2024,35-39,0.3643468305280067
2024,40-44,0.3858079244280755
2024,45-49,0.39344067982808223
2024,50-54,0.4069441765293872
2024,55-59,0.4111340099606263
2024,60-64,0.3723135560784042
2024,65-69,0.3562856373323507
2024,70-74,0.3312952712530095
2024,75-79,0.2903687563420534
2024,80+,0.206308499059787
