year,education,obesity_rate
2020,Attended college or technical school,0.35260263645499423
2020,Did not graduate high school,0.39652155277389883
2020,Graduated college or technical school,0.2599684062016268
2020,Graduated high school,0.35106240601792976
2021,Attended college or technical school,0.3675949434312502
2021,Did not graduate high school,0.3856031597323557
2021,Graduated college or technical school,0.2731915213596415
2021,Graduated high school,0.37038137136503574
2022,Attended college or technical school,0.37318204339881433
2022,Did not graduate high school,0.3842271655112964
2022,Graduated college or technical school,0.28417784285140546
2022,Graduated high school,0.36948725580052394
2023,Attended college or technical school,0.3713155209438826
2023,Did not graduate high school,0.36590884213526786
2023,Graduated college or technical school,0.2816549637830106
2023,Graduated high school,0.36087961970686855
2024,Attended college or technical school,0.37167686717257453
2024,Did not graduate high school,0.381675520875537
2024,Graduated college or technical school,0.2831618496875743
2024,Graduated high school,0.3667017620973728
