year,race_group,obesity_rate
2020,AIAN,0.4023859969278851
2020,Asian,0.12080117168476157
2020,Hispanic,0.36657848474530524
2020,NH-Black,0.4299908425189306
2020,NH-White,0.315840629615514
2020,NHOPI,0.39571939353907826
2020,Other/Multiracial,0.31713963240335347
2021,AIAN,0.38720067967264543
2021,Asian,0.11955104884978768
2021,Hispanic,0.37703212939283814
2021,NH-Black,0.4392034048804778
2021,NH-White,0.3313105658933576
2021,NHOPI,0.4663020782885128
2021,Other/Multiracial,0.342937983579168
2022,AIAN,0.3927785615619163
2022,Asian,0.137932594645773
2022,Hispanic,0.37547699924099803
2022,NH-Black,0.4455555476704934
2022,NH-White,0.3348140350322964
2022,NHOPI,0.36757243960300495
2022,Other/Multiracial,0.34719748290591773
2023,AIAN,0.4029705664969845
2023,Asian,0.13823707399200216
2023,Hispanic,0.35700898915548734
2023,NH-Black,0.4313708256241488
2023,NH-White,0.3338262595831093
2023,NHOPI,0.2998496729600664
2023,Other/Multiracial,0.3264902788122714
2024,AIAN,0.4172336876444325
2024,Asian,0.14142816298737143
2024,Hispanic,0.36571755568023306
2024,NH-Black,0.42899125203379057
2024,NH-White,0.33441632154892353
2024,NHOPI,0.39463316605449683
2024,Other/Multiracial,0.3373637833402077
